Age,Gender,Education,Department,JobRole,Shift,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,MonthlyIncome,HourlyRate,OverTime,DistanceFromHome,PerformanceRating,TrainingTimesLastYear,Attrition
25,Male,4,Nursing,Nurse Practitioner,Night,1.3,0.6,4,3,3,3,8610.88,53.82,Yes,12.1,4,0,No
40,Male,3,Support,Maintenance,Rotating,5.0,4.4,3,4,3,2,3738.4,23.37,No,9.7,4,1,Yes
41,Male,3,Technical,Medical Tech,Rotating,5.8,5.1,1,3,2,2,6437.76,40.24,No,4.7,2,5,Yes
54,Female,5,Nursing,Nurse Practitioner,Day,3.2,1.2,1,3,2,4,7952.9,49.71,No,3.8,3,1,No
41,Female,4,Nursing,Head Nurse,Day,0.3,0.3,3,2,3,2,5301.05,33.13,No,19.8,3,0,Yes
33,Female,3,Nursing,Head Nurse,Day,12.5,9.8,2,4,4,2,9800.59,61.25,Yes,1.0,3,0,Yes
22,Female,2,Technical,Pharmacy Tech,Day,19.6,9.6,4,4,3,3,6405.98,40.04,Yes,12.6,3,6,Yes
47,Female,3,Nursing,Nurse,Night,2.8,1.7,3,2,2,3,5816.46,36.35,No,5.4,4,3,Yes
35,Male,3,Admin,Admin Staff,Rotating,4.8,2.4,3,1,1,4,4553.41,28.46,No,12.6,4,2,Yes
59,Female,2,Nursing,Clinical Nurse,Day,3.0,1.2,2,3,1,3,5559.66,34.75,No,7.1,3,0,Yes
58,Male,2,Support,Security,Night,1.9,1.0,2,4,3,3,4320.59,27.0,No,1.0,1,1,Yes
32,Female,4,Nursing,Nurse Practitioner,Night,0.4,0.3,3,2,1,3,7795.01,48.72,Yes,40.2,2,1,Yes
57,Male,1,Support,Food Service,Day,3.0,2.7,3,4,2,3,3410.88,21.32,No,1.0,3,2,Yes
34,Male,3,Support,Security,Day,8.5,4.7,2,1,3,3,4251.2,26.57,No,1.7,4,3,Yes
64,Male,2,Nursing,Clinical Nurse,Night,0.1,0.0,3,4,2,2,5304.26,33.15,No,5.5,3,0,Yes
24,Male,2,Admin,Office Manager,Night,4.4,2.7,4,3,3,3,6534.08,40.84,No,28.9,3,2,Yes
54,Male,1,Nursing,Nurse,Rotating,10.6,8.0,1,2,3,2,6544.63,40.9,No,3.5,4,4,No
27,Male,2,Support,Security,Day,1.2,1.0,3,2,2,3,3559.82,22.25,No,8.4,2,3,Yes
31,Female,4,Admin,HR Specialist,Rotating,1.0,0.5,2,3,4,2,5229.12,32.68,No,7.4,2,0,No
26,Male,4,Nursing,Nurse Practitioner,Day,7.4,5.3,3,3,3,2,9737.95,60.86,Yes,4.0,3,2,Yes
44,Female,2,Nursing,Head Nurse,Night,1.5,0.8,1,4,2,3,5471.94,34.2,No,11.9,4,4,No
31,Female,3,Admin,Admin Staff,Night,1.1,0.9,3,3,4,1,3054.85,19.09,No,7.0,4,1,No
65,Female,3,Support,Security,Day,2.4,1.0,1,3,3,1,2891.76,18.07,Yes,8.6,3,0,Yes
23,Female,4,Doctors,Specialist,Day,2.5,1.2,1,4,3,1,15950.5,99.69,No,2.4,3,0,No
34,Female,4,Technical,Lab Technician,Day,10.4,6.2,3,3,3,2,5967.99,37.3,No,26.1,3,1,No
61,Male,3,Admin,Receptionist,Day,4.8,4.4,3,4,2,2,3689.15,23.06,No,1.2,3,3,No
23,Male,3,Nursing,Head Nurse,Night,2.6,1.8,4,4,2,4,8796.46,54.98,No,11.7,3,1,Yes
41,Male,4,Support,Maintenance,Day,3.8,3.7,3,4,3,3,2647.95,16.55,No,21.7,3,3,Yes
22,Female,1,Nursing,Head Nurse,Night,15.4,5.7,3,1,1,3,9869.61,61.69,No,1.0,2,3,No
58,Female,3,Support,Security,Day,0.6,0.4,3,3,4,3,3099.52,19.37,Yes,1.0,3,0,Yes
30,Male,5,Admin,Receptionist,Rotating,1.2,0.7,2,2,2,3,2491.62,15.57,Yes,4.1,3,1,No
38,Male,4,Nursing,Clinical Nurse,Rotating,16.4,11.8,1,3,3,1,8056.61,50.35,Yes,15.6,3,1,No
30,Female,3,Doctors,Surgeon,Rotating,15.8,13.7,2,2,2,4,20868.04,130.43,Yes,12.6,2,2,Yes
32,Male,3,Support,Janitor,Night,1.0,0.9,2,4,3,4,2311.81,14.45,No,17.3,4,1,Yes
36,Female,2,Support,Janitor,Day,0.8,0.6,2,2,3,1,2463.61,15.4,No,5.1,4,0,Yes
45,Female,3,Nursing,Nurse Practitioner,Rotating,2.7,2.0,4,2,3,3,9445.89,59.04,Yes,50.0,4,2,Yes
59,Female,3,Nursing,Nurse Practitioner,Day,0.3,0.2,4,2,2,1,8384.76,52.4,No,4.6,3,4,Yes
56,Female,3,Doctors,Resident,Day,5.3,3.0,4,2,1,1,6189.81,38.69,No,16.4,3,3,No
51,Female,4,Doctors,Specialist,Day,0.4,0.4,4,3,4,2,13370.66,83.57,Yes,4.3,4,3,Yes
52,Female,4,Technical,Medical Tech,Night,0.3,0.3,2,1,4,4,4127.44,25.8,Yes,2.5,3,2,Yes
26,Female,2,Nursing,Head Nurse,Night,3.3,2.1,2,2,1,3,6064.49,37.9,No,4.1,2,3,Yes
65,Female,3,Support,Janitor,Night,15.8,12.8,3,3,2,3,4061.65,25.39,No,2.1,3,3,Yes
35,Male,3,Doctors,Doctor,Day,2.8,1.6,4,1,2,3,15978.44,99.87,Yes,1.4,3,2,Yes
32,Male,3,Technical,Lab Technician,Day,2.2,0.9,2,1,4,3,5362.31,33.51,Yes,4.5,4,1,No
30,Male,2,Admin,Receptionist,Rotating,31.0,22.0,3,4,1,2,5843.36,36.52,No,1.6,3,1,Yes
55,Male,3,Admin,Receptionist,Night,3.8,1.7,1,4,1,4,4014.36,25.09,Yes,7.0,2,2,No
33,Female,4,Support,Security,Day,2.4,1.5,2,2,1,3,4047.61,25.3,No,1.0,4,1,No
56,Female,3,Doctors,Specialist,Night,2.4,2.2,2,2,3,3,20120.77,125.75,Yes,5.6,3,3,Yes
56,Male,5,Technical,Medical Tech,Day,1.1,0.4,2,4,4,3,5996.85,37.48,No,31.7,3,2,Yes
22,Male,5,Support,Janitor,Day,3.6,1.2,4,1,2,4,2762.54,17.27,No,4.4,3,2,Yes
61,Female,2,Doctors,Surgeon,Day,2.9,2.1,1,3,1,3,18309.38,114.43,No,1.5,4,2,Yes
43,Male,2,Admin,Office Manager,Day,1.6,0.8,4,3,3,1,6196.27,38.73,Yes,3.6,3,2,Yes
50,Female,5,Nursing,Clinical Nurse,Day,0.9,0.5,1,3,1,3,5617.06,35.11,Yes,15.7,1,1,Yes
29,Female,5,Nursing,Nurse Practitioner,Rotating,1.9,1.1,4,4,1,2,8460.03,52.88,No,3.8,3,0,Yes
32,Female,1,Nursing,Nurse Practitioner,Night,3.6,1.3,3,2,4,4,9264.97,57.91,Yes,4.8,4,0,Yes
62,Male,1,Nursing,Nurse,Night,0.3,0.1,3,2,4,3,5203.79,32.52,No,15.5,3,1,Yes
58,Male,2,Nursing,Head Nurse,Night,0.8,0.8,1,3,4,1,5574.92,34.84,No,3.0,3,2,Yes
35,Male,5,Nursing,Clinical Nurse,Rotating,14.7,6.7,3,4,2,3,6104.35,38.15,No,6.5,4,3,No
51,Female,2,Admin,Receptionist,Day,3.9,2.3,4,4,2,2,4027.13,25.17,Yes,1.0,4,1,No
56,Female,3,Admin,Receptionist,Rotating,0.3,0.3,1,3,3,3,3306.59,20.67,No,1.9,3,1,Yes
42,Male,4,Nursing,Head Nurse,Night,5.9,5.2,1,4,1,2,7008.04,43.8,No,2.4,4,1,No
58,Female,1,Nursing,Head Nurse,Day,0.3,0.1,2,1,2,1,8014.8,50.09,Yes,6.2,2,2,Yes
26,Female,3,Doctors,Specialist,Day,6.7,4.4,1,2,2,1,15729.92,98.31,No,17.2,3,3,Yes
40,Male,2,Admin,Receptionist,Night,6.9,5.6,1,1,4,2,3431.56,21.45,Yes,4.4,3,1,No
35,Female,4,Admin,Admin Staff,Night,5.3,4.2,3,1,3,2,3629.16,22.68,No,4.8,3,2,No
47,Female,2,Doctors,Surgeon,Day,6.6,5.5,2,3,1,4,25172.62,157.33,No,3.6,3,4,Yes
25,Male,3,Technical,Medical Tech,Night,0.5,0.3,3,4,1,2,5639.34,35.25,No,3.9,3,1,Yes
46,Male,3,Admin,Receptionist,Night,6.5,2.7,4,3,4,1,3491.3,21.82,No,5.2,1,2,Yes
63,Female,2,Doctors,Specialist,Day,0.7,0.5,3,3,4,4,19271.4,120.45,No,23.0,4,2,No
46,Female,1,Support,Food Service,Rotating,2.1,1.6,1,1,3,4,3685.18,23.03,No,1.0,3,3,Yes
39,Female,3,Technical,Pharmacy Tech,Rotating,14.3,10.4,3,3,1,3,6688.52,41.8,No,9.8,3,2,Yes
61,Female,2,Admin,Admin Staff,Night,3.5,1.2,2,2,2,2,4665.78,29.16,No,21.9,3,0,Yes
29,Female,4,Doctors,Surgeon,Rotating,17.1,5.9,2,3,3,4,28022.51,175.14,No,5.4,3,1,Yes
60,Male,4,Nursing,Nurse Practitioner,Day,0.5,0.5,2,2,4,1,8433.61,52.71,Yes,10.5,4,0,Yes
61,Female,3,Doctors,Surgeon,Day,3.2,1.3,4,3,1,4,19367.82,121.05,Yes,8.8,3,3,Yes
35,Female,3,Support,Maintenance,Day,0.3,0.2,3,2,3,4,2828.31,17.68,No,4.1,4,0,Yes
53,Male,3,Admin,Office Manager,Night,5.0,4.2,1,3,1,3,5019.91,31.37,No,1.5,3,5,No
59,Female,4,Support,Maintenance,Night,0.4,0.2,2,1,2,2,3630.83,22.69,Yes,2.5,2,1,No
54,Female,3,Admin,Office Manager,Night,1.0,0.4,2,2,1,1,4827.27,30.17,No,1.0,2,1,No
44,Male,2,Support,Security,Day,1.5,0.9,4,2,4,4,3312.9,20.71,No,14.5,3,3,No
36,Female,2,Doctors,Resident,Day,6.9,4.8,4,3,2,4,6264.15,39.15,No,7.6,4,2,No
54,Male,3,Nursing,Clinical Nurse,Rotating,0.9,0.6,2,3,2,2,5228.55,32.68,Yes,15.4,4,2,Yes
46,Male,3,Doctors,Specialist,Rotating,9.4,8.8,2,4,2,1,17055.2,106.6,No,3.4,4,4,Yes
38,Male,3,Nursing,Nurse Practitioner,Night,0.7,0.4,3,3,4,3,9240.23,57.75,No,16.3,4,2,Yes
54,Female,1,Nursing,Nurse Practitioner,Night,0.2,0.1,2,2,3,4,9702.86,60.64,No,3.7,2,1,Yes
23,Female,4,Technical,Lab Technician,Night,2.5,1.0,2,3,1,3,5338.59,33.37,No,1.3,4,2,Yes
35,Male,2,Nursing,Nurse Practitioner,Day,19.4,11.2,3,3,1,1,11571.18,72.32,No,7.6,3,4,Yes
61,Female,2,Technical,Medical Tech,Day,0.6,0.5,2,2,3,3,6262.64,39.14,No,29.1,2,3,Yes
61,Male,3,Nursing,Head Nurse,Night,0.5,0.2,3,3,2,1,6572.1,41.08,No,5.4,3,0,Yes
60,Female,2,Nursing,Clinical Nurse,Night,7.0,5.0,2,1,2,4,6044.3,37.78,No,7.2,3,2,Yes
27,Female,3,Support,Security,Day,1.9,0.8,3,1,3,2,3082.13,19.26,Yes,6.0,3,2,Yes
27,Male,3,Admin,Office Manager,Rotating,6.3,2.3,3,3,1,3,7737.27,48.36,Yes,6.1,3,2,Yes
24,Female,3,Doctors,Doctor,Rotating,1.1,0.7,3,3,4,1,10916.55,68.23,Yes,2.4,3,1,Yes
28,Male,3,Doctors,Specialist,Day,3.1,2.4,3,3,1,1,17600.43,110.0,No,5.5,3,0,No
29,Male,2,Doctors,Resident,Night,1.5,0.6,2,2,1,3,7420.27,46.38,Yes,6.9,2,2,Yes
63,Female,2,Support,Food Service,Rotating,3.0,2.8,1,4,2,4,3258.16,20.36,Yes,13.7,4,4,Yes
36,Female,4,Doctors,Doctor,Day,7.3,3.4,1,3,3,2,11549.06,72.18,No,1.5,3,3,No
50,Male,3,Admin,Admin Staff,Night,7.2,2.8,2,4,1,3,4425.59,27.66,No,8.5,3,2,Yes
54,Male,3,Technical,Pharmacy Tech,Night,3.6,1.6,1,3,3,3,5712.16,35.7,No,10.9,3,1,Yes
51,Male,1,Nursing,Nurse Practitioner,Day,13.2,5.5,3,3,2,4,8471.8,52.95,No,4.8,4,3,No
60,Female,3,Admin,HR Specialist,Rotating,1.5,0.6,2,1,1,3,6021.29,37.63,No,8.0,3,2,No
48,Male,3,Support,Food Service,Day,1.4,1.2,1,3,4,1,3565.38,22.28,No,12.4,3,2,No
57,Female,3,Doctors,Specialist,Day,4.8,3.1,4,3,4,3,21244.04,132.78,Yes,6.3,4,4,No
50,Female,4,Technical,Radiology Tech,Day,4.9,2.8,3,2,3,4,6064.4,37.9,No,4.1,3,1,No
59,Female,2,Doctors,Resident,Day,0.2,0.2,2,3,4,4,4898.72,30.62,Yes,17.4,3,0,Yes
54,Male,2,Technical,Radiology Tech,Day,4.7,2.6,2,3,1,3,6072.14,37.95,Yes,44.9,3,3,No
58,Male,4,Support,Maintenance,Night,2.3,1.0,1,3,2,4,3549.38,22.18,Yes,2.4,3,1,No
48,Male,5,Nursing,Clinical Nurse,Day,6.9,3.4,2,2,2,1,7085.51,44.28,No,22.0,4,2,Yes
54,Female,2,Nursing,Clinical Nurse,Night,8.3,3.9,4,1,4,3,7392.75,46.2,No,7.9,4,2,Yes
25,Male,3,Admin,HR Specialist,Night,4.0,2.6,1,2,3,4,6777.93,42.36,Yes,5.9,4,2,Yes
43,Male,2,Technical,Radiology Tech,Day,0.0,0.0,3,3,1,1,6210.45,38.82,No,22.4,2,2,Yes
23,Female,1,Nursing,Nurse,Night,5.1,3.3,4,2,2,4,5655.21,35.35,No,24.1,3,3,Yes
31,Male,2,Nursing,Clinical Nurse,Night,6.9,5.3,3,1,1,2,4559.51,28.5,No,3.2,3,1,Yes
26,Female,2,Nursing,Head Nurse,Night,1.4,1.2,2,4,2,2,6564.86,41.03,No,4.4,4,0,No
31,Male,4,Support,Janitor,Day,3.1,2.5,3,2,2,2,3329.36,20.81,Yes,19.1,3,3,No
54,Female,3,Doctors,Resident,Night,16.9,7.5,4,3,2,2,9185.98,57.41,Yes,6.7,4,1,Yes
59,Female,2,Admin,HR Specialist,Rotating,1.8,0.7,3,4,1,3,5352.81,33.46,No,3.4,1,2,Yes
34,Female,1,Nursing,Head Nurse,Day,1.3,0.9,4,3,1,3,5678.68,35.49,No,32.7,3,2,Yes
52,Female,4,Admin,HR Specialist,Day,1.2,0.5,3,3,3,2,4725.1,29.53,Yes,2.4,3,2,Yes
57,Male,2,Nursing,Nurse Practitioner,Night,4.1,1.5,4,4,3,4,8742.19,54.64,Yes,9.4,4,2,No
45,Female,3,Nursing,Nurse,Day,15.0,10.0,4,4,2,1,7300.41,45.63,No,5.6,3,1,No
36,Female,2,Support,Security,Night,4.7,2.5,3,3,3,4,2967.88,18.55,Yes,6.0,1,4,Yes
50,Female,3,Support,Food Service,Day,1.8,1.5,3,2,1,2,2544.0,15.9,No,1.1,4,2,No
29,Male,2,Nursing,Nurse,Day,5.1,2.6,3,3,1,3,5590.11,34.94,No,3.0,3,2,Yes
26,Male,1,Nursing,Nurse,Night,4.9,4.8,3,4,4,2,4679.67,29.25,No,1.8,3,1,Yes
50,Male,2,Nursing,Nurse Practitioner,Day,4.5,3.8,4,4,2,3,7239.39,45.25,No,13.8,2,3,Yes
25,Male,2,Admin,Admin Staff,Day,0.9,0.3,1,4,2,4,3166.31,19.79,No,12.0,4,5,No
33,Male,3,Nursing,Nurse Practitioner,Day,5.0,3.3,3,3,4,4,8637.27,53.98,No,15.8,4,1,No
23,Female,3,Nursing,Clinical Nurse,Day,2.8,2.0,3,2,2,2,5766.4,36.04,No,12.0,2,0,No
48,Male,2,Nursing,Head Nurse,Rotating,0.1,0.1,3,2,1,3,8154.41,50.97,No,1.4,3,2,Yes
52,Male,1,Technical,Pharmacy Tech,Rotating,3.9,2.5,3,1,4,3,5163.96,32.27,No,38.4,3,2,Yes
57,Female,3,Technical,Lab Technician,Day,22.7,14.5,1,3,1,4,6660.46,41.63,No,2.1,3,3,Yes
57,Female,3,Doctors,Doctor,Night,2.2,1.2,2,2,3,4,11143.94,69.65,Yes,4.3,3,0,No
47,Female,5,Admin,Office Manager,Day,16.8,8.3,4,2,2,2,8505.07,53.16,Yes,12.3,3,0,Yes
64,Female,3,Support,Maintenance,Night,0.5,0.5,4,4,2,3,3407.16,21.29,No,1.5,4,4,Yes
48,Male,3,Support,Maintenance,Day,6.6,3.4,2,1,3,2,3083.45,19.27,Yes,1.9,4,2,No
26,Female,3,Nursing,Clinical Nurse,Day,0.6,0.2,3,4,2,4,5742.33,35.89,No,20.9,4,1,Yes
41,Female,5,Nursing,Clinical Nurse,Night,1.6,0.7,4,1,3,4,4673.48,29.21,No,4.0,2,0,Yes
32,Male,4,Admin,HR Specialist,Day,4.2,3.8,3,4,4,4,5947.85,37.17,No,11.0,4,2,Yes
31,Female,2,Nursing,Nurse Practitioner,Day,4.5,3.2,3,2,1,3,9272.56,57.95,No,19.6,2,2,Yes
61,Female,2,Admin,Office Manager,Rotating,7.5,6.3,1,1,4,3,7248.05,45.3,No,36.2,3,4,No
59,Male,2,Doctors,Resident,Night,4.8,4.1,3,3,1,3,8246.95,51.54,No,2.4,3,3,Yes
27,Male,3,Admin,HR Specialist,Night,4.5,3.9,3,4,1,3,6943.15,43.39,No,1.3,4,2,Yes
29,Male,4,Nursing,Nurse Practitioner,Night,12.2,8.3,3,2,4,2,11238.55,70.24,No,13.5,1,2,No
44,Male,3,Admin,Office Manager,Night,3.0,1.3,3,3,2,3,7226.76,45.17,No,2.1,4,1,Yes
47,Male,1,Support,Food Service,Day,1.3,0.5,2,4,1,1,2324.92,14.53,No,8.7,3,0,Yes
64,Female,4,Nursing,Nurse Practitioner,Day,0.9,0.6,4,2,3,1,7489.9,46.81,Yes,7.6,1,3,No
33,Male,4,Doctors,Surgeon,Night,2.6,1.4,3,4,2,3,15511.34,96.95,No,8.2,2,3,Yes
47,Female,2,Nursing,Head Nurse,Night,6.2,4.3,3,2,2,4,6670.56,41.69,No,10.5,1,3,No
34,Female,3,Nursing,Clinical Nurse,Night,0.2,0.1,4,2,3,3,4975.85,31.1,No,19.0,4,1,No
61,Female,3,Doctors,Doctor,Night,0.7,0.5,4,2,4,3,15010.03,93.81,No,3.2,2,3,Yes
39,Female,4,Nursing,Head Nurse,Day,0.6,0.2,4,2,1,4,6940.19,43.38,No,8.1,1,2,No
46,Male,4,Nursing,Nurse Practitioner,Day,4.4,1.4,3,1,1,2,9175.42,57.35,Yes,4.1,2,3,Yes
54,Female,3,Nursing,Nurse Practitioner,Day,1.4,1.1,3,2,1,1,7565.34,47.28,Yes,3.8,3,1,Yes
61,Female,3,Doctors,Resident,Night,0.9,0.4,2,2,1,4,6728.92,42.06,No,1.0,3,1,No
64,Female,4,Technical,Medical Tech,Night,4.5,3.4,2,3,4,4,6318.1,39.49,No,9.1,3,2,No
33,Female,3,Nursing,Clinical Nurse,Rotating,7.2,4.9,3,3,4,3,5434.03,33.96,Yes,35.9,4,2,Yes
65,Male,2,Doctors,Specialist,Night,2.0,2.0,3,3,3,2,19758.63,123.49,No,14.3,4,2,No
57,Female,4,Nursing,Head Nurse,Rotating,4.3,3.8,2,2,3,4,6402.0,40.01,Yes,2.8,3,5,Yes
25,Male,2,Doctors,Doctor,Night,0.5,0.3,4,4,4,3,15271.92,95.45,No,12.6,3,6,Yes
26,Female,3,Admin,HR Specialist,Rotating,13.7,10.0,3,2,1,1,5184.63,32.4,No,3.5,3,0,No
58,Female,4,Doctors,Doctor,Night,2.1,0.8,3,2,1,1,13384.69,83.65,No,14.0,4,2,Yes
29,Male,4,Support,Security,Rotating,30.0,17.1,2,3,2,4,6615.46,41.35,Yes,19.3,3,2,Yes
63,Female,3,Support,Maintenance,Day,19.2,15.6,1,3,4,1,4588.76,28.68,No,4.1,3,3,Yes
49,Male,2,Nursing,Nurse Practitioner,Day,7.5,5.6,4,1,2,2,9299.95,58.12,No,1.0,3,3,Yes
52,Male,3,Support,Janitor,Night,0.1,0.1,2,2,3,3,2858.87,17.87,No,3.6,4,1,Yes
30,Female,2,Nursing,Head Nurse,Rotating,3.9,1.7,3,4,2,2,6621.7,41.39,No,2.3,3,2,Yes
50,Female,2,Support,Food Service,Day,0.5,0.4,3,3,3,2,2336.52,14.6,No,9.6,4,1,Yes
35,Female,4,Nursing,Nurse,Day,11.3,5.5,3,2,4,2,5104.12,31.9,Yes,3.4,2,1,Yes
61,Female,2,Admin,Admin Staff,Night,7.8,6.8,3,4,2,2,3593.01,22.46,Yes,1.0,4,3,Yes
62,Female,3,Nursing,Nurse Practitioner,Night,17.9,13.1,1,1,3,4,12858.64,80.37,No,7.6,4,2,No
43,Female,3,Nursing,Clinical Nurse,Day,4.7,2.6,2,3,2,3,6705.39,41.91,Yes,20.8,4,1,No
32,Female,5,Technical,Pharmacy Tech,Night,3.7,1.2,3,2,3,2,4633.51,28.96,Yes,6.0,2,0,No
44,Male,3,Support,Maintenance,Rotating,3.7,1.7,3,1,2,2,3921.52,24.51,No,4.7,3,1,Yes
22,Female,1,Doctors,Surgeon,Rotating,2.4,2.3,2,2,2,1,17102.3,106.89,No,2.0,4,1,No
58,Male,1,Technical,Radiology Tech,Day,3.2,2.8,2,3,2,1,5261.81,32.89,No,4.9,4,3,Yes
42,Female,3,Technical,Pharmacy Tech,Day,5.0,3.5,1,1,1,3,5864.44,36.65,Yes,4.0,3,1,Yes
47,Male,3,Nursing,Clinical Nurse,Day,13.5,8.5,3,3,4,1,6119.1,38.24,No,50.0,3,2,No
57,Male,3,Nursing,Head Nurse,Day,4.5,3.4,2,4,4,3,5900.8,36.88,No,1.0,2,3,Yes
44,Male,3,Nursing,Clinical Nurse,Day,9.7,6.1,1,3,2,4,6928.48,43.3,No,2.7,3,0,Yes
22,Female,1,Admin,Office Manager,Rotating,9.9,7.5,3,2,2,2,8535.84,53.35,Yes,1.0,2,2,No
61,Male,3,Nursing,Clinical Nurse,Day,3.7,1.9,2,1,3,2,5811.07,36.32,No,19.5,2,0,Yes
36,Male,3,Nursing,Nurse Practitioner,Rotating,2.1,1.9,3,2,2,4,7287.1,45.54,No,5.4,3,0,Yes
42,Female,2,Nursing,Clinical Nurse,Rotating,5.1,4.0,2,2,2,4,5435.59,33.97,No,15.9,3,3,No
30,Female,2,Nursing,Nurse Practitioner,Day,3.0,1.6,4,4,1,4,8930.26,55.81,Yes,11.8,4,3,No
30,Male,2,Support,Security,Rotating,0.4,0.4,2,4,4,3,3713.49,23.21,No,26.3,3,1,Yes
31,Male,2,Nursing,Head Nurse,Night,2.4,1.5,2,2,3,4,8464.01,52.9,No,1.0,3,1,Yes
47,Male,3,Admin,Admin Staff,Night,25.6,10.8,4,1,4,4,6641.93,41.51,Yes,2.3,4,3,Yes
62,Male,2,Doctors,Doctor,Day,0.2,0.1,2,4,2,3,14841.11,92.76,No,12.1,3,5,Yes
56,Female,2,Admin,HR Specialist,Night,6.0,4.7,3,3,3,3,6291.8,39.32,No,8.8,2,1,No
46,Female,2,Nursing,Clinical Nurse,Day,9.2,8.3,2,3,3,1,6067.58,37.92,No,11.9,3,1,No
47,Female,5,Nursing,Clinical Nurse,Night,5.2,4.5,1,2,2,3,6294.41,39.34,Yes,8.6,3,2,No
32,Male,4,Nursing,Head Nurse,Day,4.2,3.2,3,2,4,2,7987.6,49.92,Yes,8.7,4,2,No
59,Female,2,Admin,HR Specialist,Night,6.1,2.5,4,4,4,2,5103.75,31.9,No,27.0,3,2,Yes
23,Female,2,Nursing,Nurse,Day,2.8,1.0,2,2,4,1,5008.01,31.3,Yes,25.4,3,0,No
28,Female,2,Doctors,Resident,Day,0.5,0.3,3,4,3,2,5476.62,34.23,No,1.0,3,1,No
39,Female,3,Doctors,Surgeon,Night,16.4,14.7,3,1,3,3,29869.53,186.68,No,5.3,3,1,No
48,Female,1,Admin,Admin Staff,Night,2.8,2.8,2,4,3,3,3556.24,22.23,Yes,7.1,3,1,Yes
55,Female,3,Admin,Admin Staff,Day,5.5,2.6,3,3,4,2,4670.35,29.19,No,4.4,2,2,Yes
48,Male,3,Admin,Office Manager,Day,3.8,3.2,2,2,2,4,5849.43,36.56,No,1.0,4,2,Yes
38,Female,4,Technical,Lab Technician,Rotating,0.3,0.2,2,1,1,3,4754.05,29.71,No,6.4,3,1,Yes
64,Female,2,Nursing,Nurse,Night,15.3,4.9,2,3,3,3,5347.57,33.42,No,37.2,3,4,Yes
65,Female,4,Technical,Pharmacy Tech,Day,7.9,5.3,4,2,4,2,6154.91,38.47,No,1.0,3,5,No
45,Male,4,Technical,Radiology Tech,Night,0.8,0.7,2,3,2,4,4972.73,31.08,No,17.0,3,0,Yes
46,Female,2,Admin,Office Manager,Night,20.0,9.9,3,2,3,3,8048.53,50.3,Yes,2.2,3,1,No
28,Female,3,Nursing,Head Nurse,Day,6.7,6.2,2,1,2,4,6312.91,39.46,Yes,8.6,4,2,No
27,Male,2,Admin,Receptionist,Night,3.2,1.5,2,3,4,2,3395.89,21.22,No,4.9,3,2,Yes
45,Male,2,Nursing,Clinical Nurse,Rotating,4.7,1.7,3,3,3,2,6623.76,41.4,No,4.3,3,1,No
54,Female,2,Nursing,Head Nurse,Night,0.6,0.2,3,2,3,1,7741.94,48.39,No,20.4,3,2,No
50,Female,3,Nursing,Nurse,Day,4.1,3.6,2,2,3,2,4019.38,25.12,No,36.3,4,2,No
64,Female,3,Nursing,Clinical Nurse,Rotating,0.4,0.2,2,3,4,2,5270.46,32.94,Yes,4.9,4,1,Yes
43,Male,5,Admin,Receptionist,Day,3.9,3.4,4,3,4,4,3967.87,24.8,No,10.2,4,0,No
47,Female,2,Technical,Lab Technician,Rotating,4.0,2.7,1,1,4,3,4862.26,30.39,No,8.1,3,1,No
49,Male,5,Nursing,Nurse Practitioner,Day,10.4,6.6,3,2,1,2,7513.05,46.96,No,1.0,3,2,No
42,Male,2,Support,Janitor,Night,6.5,5.6,3,1,1,3,2717.84,16.99,No,1.0,4,1,No
28,Male,4,Support,Security,Night,1.4,0.9,3,3,4,1,3549.6,22.18,No,14.8,3,2,Yes
38,Male,2,Support,Security,Day,11.0,9.4,4,3,4,2,3458.25,21.61,Yes,5.0,4,2,Yes
41,Male,2,Technical,Radiology Tech,Rotating,4.3,1.6,3,2,2,3,6809.63,42.56,No,3.7,4,1,No
62,Male,4,Admin,Receptionist,Night,4.7,3.5,2,3,1,3,3664.82,22.91,No,42.4,2,1,Yes
41,Male,2,Nursing,Clinical Nurse,Day,0.9,0.7,2,2,2,3,4589.52,28.68,No,1.0,3,2,Yes
43,Male,3,Doctors,Surgeon,Night,9.8,9.1,2,3,2,2,23128.18,144.55,Yes,3.1,3,1,Yes
49,Female,3,Doctors,Specialist,Night,13.4,6.1,1,1,3,2,22923.04,143.27,No,19.4,3,3,Yes
61,Female,3,Technical,Lab Technician,Day,7.5,5.4,4,3,1,4,4538.79,28.37,No,5.4,4,3,No
28,Male,3,Support,Security,Rotating,14.1,8.5,1,3,1,4,3790.32,23.69,No,8.8,2,3,No
22,Female,4,Admin,Admin Staff,Rotating,1.8,1.0,3,4,4,2,4172.1,26.08,No,1.0,3,4,Yes
53,Male,1,Nursing,Head Nurse,Day,9.9,3.7,3,4,1,3,6502.09,40.64,No,25.3,4,3,Yes
34,Female,3,Nursing,Nurse,Night,3.4,1.3,4,3,3,2,5840.89,36.51,No,1.5,2,5,Yes
51,Male,4,Nursing,Nurse Practitioner,Day,0.9,0.8,3,4,2,2,9708.73,60.68,No,2.4,3,2,Yes
44,Male,1,Admin,HR Specialist,Rotating,5.5,4.6,3,2,3,4,7120.51,44.5,No,1.7,3,1,No
